sn_K-Cores;tn_graphDensity;tn_currentCluster;tn_modularityCount;sn_modularityCount;sn_team;sn_Cluster;sn_Page Rank;tn_Page Rank;tn_averageClusteringCoefficient;tn_team;sn_graphDensity;source;tn_K-Cores;tn_betweennessCentralityCount;sn_user_id;sn_timestamp;sn_betweennessCentralityCount;sn_averageClusteringCoefficient;sn_currentCluster;tn_timestamp;target;tn_user_id;tn_Cluster;edge;sn_Indegree;tn_Indegree;sn_Outdegree;tn_Outdegree;sn_NPosts in 01 - Bootcamp;sn_EPosts in 01 - Bootcamp;tn_NPosts in 01 - Bootcamp;tn_EPosts in 01 - Bootcamp;sn_NComms written in 01 - Bootcamp;sn_EComms written in 01 - Bootcamp;tn_NComms written in 01 - Bootcamp;tn_EComms written in 01 - Bootcamp;sn_NTeam comms received in 01 - Bootcamp;sn_ETeam comms received in 01 - Bootcamp;tn_NTeam comms received in 01 - Bootcamp;tn_ETeam comms received in 01 - Bootcamp;sn_NComms received in 01 - Bootcamp;sn_EComms received in 01 - Bootcamp;tn_NComms received in 01 - Bootcamp;tn_EComms received in 01 - Bootcamp;sn_NPosts in 02 - Making a living;sn_EPosts in 02 - Making a living;tn_NPosts in 02 - Making a living;tn_EPosts in 02 - Making a living;sn_NComms written in 02 - Making a living;sn_EComms written in 02 - Making a living;tn_NComms written in 02 - Making a living;tn_EComms written in 02 - Making a living;sn_NTeam comms received in 02 - Making a living;sn_ETeam comms received in 02 - Making a living;tn_NTeam comms received in 02 - Making a living;tn_ETeam comms received in 02 - Making a living;sn_NComms received in 02 - Making a living;sn_EComms received in 02 - Making a living;tn_NComms received in 02 - Making a living;tn_EComms received in 02 - Making a living;sn_NPosts in 03 - We, the people;sn_EPosts in 03 - We, the people;tn_NPosts in 03 - We, the people;tn_EPosts in 03 - We, the people;sn_NComms written in 03 - We, the people;sn_EComms written in 03 - We, the people;tn_NComms written in 03 - We, the people;tn_EComms written in 03 - We, the people;sn_NTeam comms received in 03 - We, the people;sn_ETeam comms received in 03 - We, the people;tn_NTeam comms received in 03 - We, the people;tn_ETeam comms received in 03 - We, the people;sn_NComms received in 03 - We, the people;sn_EComms received in 03 - We, the people;tn_NComms received in 03 - We, the people;tn_EComms received in 03 - We, the people;sn_NPosts in 04 - Caring for commons;sn_EPosts in 04 - Caring for commons;tn_NPosts in 04 - Caring for commons;tn_EPosts in 04 - Caring for commons;sn_NComms written in 04 - Caring for commons;sn_EComms written in 04 - Caring for commons;tn_NComms written in 04 - Caring for commons;tn_EComms written in 04 - Caring for commons;sn_NTeam comms received in 04 - Caring for commons;sn_ETeam comms received in 04 - Caring for commons;tn_NTeam comms received in 04 - Caring for commons;tn_ETeam comms received in 04 - Caring for commons;sn_NComms received in 04 - Caring for commons;sn_EComms received in 04 - Caring for commons;tn_NComms received in 04 - Caring for commons;tn_EComms received in 04 - Caring for commons;sn_NPosts in 05 - Learning;sn_EPosts in 05 - Learning;tn_NPosts in 05 - Learning;tn_EPosts in 05 - Learning;sn_NComms written in 05 - Learning;sn_EComms written in 05 - Learning;tn_NComms written in 05 - Learning;tn_EComms written in 05 - Learning;sn_NTeam comms received in 05 - Learning;sn_ETeam comms received in 05 - Learning;tn_NTeam comms received in 05 - Learning;tn_ETeam comms received in 05 - Learning;sn_NComms received in 05 - Learning;sn_EComms received in 05 - Learning;tn_NComms received in 05 - Learning;tn_EComms received in 05 - Learning;sn_NPosts in 06 - Living together;sn_EPosts in 06 - Living together;tn_NPosts in 06 - Living together;tn_EPosts in 06 - Living together;sn_NComms written in 06 - Living together;sn_EComms written in 06 - Living together;tn_NComms written in 06 - Living together;tn_EComms written in 06 - Living together;sn_NTeam comms received in 06 - Living together;sn_ETeam comms received in 06 - Living together;tn_NTeam comms received in 06 - Living together;tn_ETeam comms received in 06 - Living together;sn_NComms received in 06 - Living together;sn_EComms received in 06 - Living together;tn_NComms received in 06 - Living together;tn_EComms received in 06 - Living together;sn_NPosts in 07 -Finale;sn_EPosts in 07 -Finale;tn_NPosts in 07 -Finale;tn_EPosts in 07 -Finale;sn_NComms written in 07 -Finale;sn_EComms written in 07 -Finale;tn_NComms written in 07 -Finale;tn_EComms written in 07 -Finale;sn_NTeam comms received in 07 -Finale;sn_ETeam comms received in 07 -Finale;tn_NTeam comms received in 07 -Finale;tn_ETeam comms received in 07 -Finale;sn_NComms received in 07 -Finale;sn_EComms received in 07 -Finale;tn_NComms received in 07 -Finale;tn_EComms received in 07 -Finale;sn_NPosts in 08 - Resilience;sn_EPosts in 08 - Resilience;tn_NPosts in 08 - Resilience;tn_EPosts in 08 - Resilience;sn_NComms written in 08 - Resilience;sn_EComms written in 08 - Resilience;tn_NComms written in 08 - Resilience;tn_EComms written in 08 - Resilience;sn_NTeam comms received in 08 - Resilience;sn_ETeam comms received in 08 - Resilience;tn_NTeam comms received in 08 - Resilience;tn_ETeam comms received in 08 - Resilience;sn_NComms received in 08 - Resilience;sn_EComms received in 08 - Resilience;tn_NComms received in 08 - Resilience;tn_EComms received in 08 - Resilience;sn_NPosts in 00 - Undefined;sn_EPosts in 00 - Undefined;tn_NPosts in 00 - Undefined;tn_EPosts in 00 - Undefined;sn_NComms written in 00 - Undefined;sn_EComms written in 00 - Undefined;tn_NComms written in 00 - Undefined;tn_EComms written in 00 - Undefined;sn_NTeam comms received in 00 - Undefined;sn_ETeam comms received in 00 - Undefined;tn_NTeam comms received in 00 - Undefined;tn_ETeam comms received in 00 - Undefined;sn_NComms received in 00 - Undefined;sn_EComms received in 00 - Undefined;tn_NComms received in 00 - Undefined;tn_EComms received in 00 - Undefined
0;0.0193798;1;0.379394;0.379394;False;0;0.0121082;0.0213586;0.0834625;False;0.0193798;127;2;0;127;1320880000;0;0.0834625;27;1318800000;41;41;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;1;0.379394;0.379394;False;0;0.0121082;0.0213586;0.0834625;False;0.0193798;1;2;0;1;1315430000;0;0.0834625;0;1318800000;41;41;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;1;0.379394;0.379394;True;0;0.0121082;0.0213586;0.0834625;False;0.0193798;7;2;0;7;1316120000;0;0.0834625;3;1318800000;41;41;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0.0193798;1;0.379394;0.379394;True;0.133333;0.125634;0.0213586;0.0834625;False;0.0193798;9;2;0;9;1316380000;0.0411343;0.0834625;5;1318800000;41;41;0;0;5;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;1;0.379394;0.379394;False;0;0.0121082;0.0213586;0.0834625;False;0.0193798;84;2;0;84;1319060000;0;0.0834625;21;1318800000;41;41;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.0193798;9;0.379394;0.379394;True;0;0.0213586;0.0121082;0.0834625;False;0.0193798;10;0;0;10;1316470000;0;0.0834625;1;1318800000;39;39;0;0;1;0;0;0;1;7413;1;7413;0;0;0;0;1;670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0.0193798;9;0.379394;0.379394;True;0.0555556;0.0979455;0.0121082;0.0834625;False;0.0193798;4;0;0;4;1316120000;0.055362;0.0834625;1;1318800000;39;39;0;0;5;0;9;0;0;0;0;0;8;3862;0;0;0;0;0;0;3;3560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;False;0;0.0121082;0.0121082;0.0834625;False;0.0193798;69;0;0;69;1318890000;0;0.0834625;16;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;False;0;0.0121082;0.0121082;0.0834625;False;0.0193798;54;0;0;54;1318800000;0;0.0834625;12;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0.0193798;9;0.379394;0.379394;False;0;0.0473717;0.0121082;0.0834625;False;0.0193798;50;0;0;50;1318800000;0;0.0834625;4;1318800000;39;39;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;False;0;0.0121082;0.0121082;0.0834625;False;0.0193798;84;0;0;84;1319060000;0;0.0834625;21;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0.0193798;9;0.379394;0.379394;True;0;0.0219077;0.0121082;0.0834625;False;0.0193798;8;0;0;8;1316120000;0.00396825;0.0834625;4;1318800000;39;39;0;0;1;0;4;0;0;0;0;0;2;1931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.0193798;9;0.379394;0.379394;True;0;0.0121082;0.0121082;0.0834625;False;0.0193798;64;0;0;64;1318890000;0;0.0834625;4;1318800000;39;39;0;0;0;0;2;0;1;10402;1;10402;2;2789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;False;0;0.0121082;0.0121082;0.0834625;False;0.0193798;1;0;0;1;1315430000;0;0.0834625;0;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0.0193798;9;0.379394;0.379394;False;1;0.0432654;0.0121082;0.0834625;False;0.0193798;60;0;0;60;1318800000;0.0232288;0.0834625;8;1318800000;39;39;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;True;0;0.0121082;0.0121082;0.0834625;False;0.0193798;5;0;0;5;1316120000;0;0.0834625;2;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;False;0;0.0121082;0.0121082;0.0834625;False;0.0193798;55;0;0;55;1318800000;0;0.0834625;13;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.0193798;9;0.379394;0.379394;False;0;0.0334659;0.0121082;0.0834625;False;0.0193798;51;0;0;51;1318800000;0;0.0834625;5;1318800000;39;39;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0.0193798;9;0.379394;0.379394;True;0.133333;0.125634;0.0121082;0.0834625;False;0.0193798;9;0;0;9;1316380000;0.0411343;0.0834625;5;1318800000;39;39;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;False;0;0.0121082;0.0121082;0.0834625;False;0.0193798;82;0;0;82;1318980000;0;0.0834625;20;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.0193798;9;0.379394;0.379394;False;0;0.0213586;0.0121082;0.0834625;False;0.0193798;77;0;0;77;1318980000;0;0.0834625;1;1318800000;39;39;0;0;1;0;1;0;0;0;0;0;2;576;0;0;4;927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.0193798;9;0.379394;0.379394;False;0;0.0334659;0.0121082;0.0834625;False;0.0193798;76;0;0;76;1318980000;0;0.0834625;5;1318800000;39;39;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.0193798;9;0.379394;0.379394;False;0;0.03116;0.0121082;0.0834625;False;0.0193798;114;0;0;114;1320880000;0;0.0834625;4;1318800000;39;39;0;0;3;0;0;0;1;2253;1;2253;0;0;0;0;3;4424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;False;0;0.0121082;0.0121082;0.0834625;False;0.0193798;74;0;0;74;1318980000;0;0.0834625;18;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;True;0;0.0121082;0.0121082;0.0834625;False;0.0193798;7;0;0;7;1316120000;0;0.0834625;3;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;False;0;0.0121082;0.0121082;0.0834625;False;0.0193798;70;0;0;70;1318890000;0;0.0834625;17;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.0193798;9;0.379394;0.379394;False;0;0.0213586;0.0121082;0.0834625;False;0.0193798;133;0;0;133;1320880000;0;0.0834625;1;1318800000;39;39;0;0;1;0;0;0;1;5244;1;5244;0;0;0;0;1;805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;False;0;0.0121082;0.0121082;0.0834625;False;0.0193798;127;0;0;127;1320880000;0;0.0834625;27;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.0193798;9;0.379394;0.379394;False;0;0.0121082;0.0121082;0.0834625;False;0.0193798;11;0;0;11;1316470000;0;0.0834625;6;1318800000;39;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
